,title,stars,date,r_title,text
0,Shrek the Third,5,18 May 2007,"Disappointing . . . kept on waiting for it to ""really start""","I'm a huge fan of the first Shrek and the second one also exceeded my expectations. Both of those movies had an meaningful and multidimensional plot. They also shared clever humor and for the most part unpredictable. I was extremely excited for the the third movie and I have to unfortunately say I was totally disappointed! The whole time I was waiting for it to start, like trying to convince myself, ""ok, any second now it will pick up"" - but it never did. The plot is so thin and unexciting - Prince Charming wants to takeover the throne while Shrek wants to get a young (King) Arthur to replace him as next in line to the throne. You never really feel any interest in what is happening or what will happen to the characters because you know exactly whats going to happen. Basically I spent the movie forcing myself to laugh because, hey, I was watching a Shrek movie. I know this review will not stop anyone who loved the previous movies from going to the third, but I just want to warn that its nothing to rush to or stand in line for."
1,Shrek the Third,5,20 May 2007,Too many characters to love--and that's a bad thing.  And the spark is gone.,"I have been bouncing around for weeks in anticipation of this movie. As a huge fan of the first two movies, I was sure this one would not disappoint. But, oh, how wrong I was! While not as bad as many a film out there, this installment is yet a sad shadow of its series.And it tries, it really did try. To its credit, there were several very clever scenes. The typical Snow White's gift with animals takes an awesome turn, and I can guarantee that you will never laugh harder at a death scene than the one of this movie. The animation? Top-notch.I just guess effort doesn't always beat out sheer inspiration. A film with a few moments does not win against a good, simple movie.The desire to produce a film merely ended up as a plot device to get Shrek and Fiona back to their beloved swamp. A long, boring plot device. With the passing of King Harold, Shrek and Fiona are heirs to the throne of Far, Far Away. Unfortunately, that does not interest them, so Shrek goes on a journey to bring back the next guy, a young Arthur ""Artie"" Pendragon. Heck, why not? Everyone loves a good Camelot infusion, and Artie is as flawed and as likable as you could want. Unfortunately, he is only one character in a cheesy madhouse of minor characters and cameos. In the effort to get everyone their screen time, that whole plot gets lost in the background.Which normally wouldn't be a problem. After all, the original movie did not have the most complex of plots. What it had was a few incredible characters. The second movie added a few more, but still kept it delightfully manageable. This time, it seemed that the powers that be assumed we already knew everything about Shrek, Donkey, Puss, and the rest of the bunch that we really didn't need to see them. Hey, let's bring in one more characters for the audience, but refuse to give them time to get to know them! Poor, pathetic lack of character development.So back to the plot. The few times that came around, it was pretty much a tacky, forced attempt to create some pseudo father/son relationship between Shrek and Artie. Good intentions, but no cigar. Maybe if we had more time... But we don't, so let's just wrap it up with a few corny lines about understanding and rising to the occasion. Yeah, we got that the first time around, and without any of the verbal commentary.On top of that, this film misses that inexplicable spark of the first two installments. I'm sorry, but I just didn't feel it. Just as a lukewarm attempt of continuing the series and aiming at a five-year old audience.Sorry. Not my favorite of the series by any means, leaving me to wonder how a sequel to films of such genius as ""Shrek"" and ""Shrek 2"" could make something so average?"
2,Shrek the Third,6,3 June 2007,"As clever, but not as funny as the first two","Shrek The Third is another entertaining romp through the erstwhile Hollywood of Far Far Away with a few laughs for adults and a few more for kids. Like all of the films in this series, it has a big and good heart, and occasionally pays homage to or pokes fun at modern films. Unlike the previous films, however, Shrek III is not a source of non-stop hilarity, and contains a little more thematic content.Shrek finds himself inheriting his father-in-law's crown and learns that Fiona is pregnant. Predictably, both of these eventualities play pretty dissonantly on the big green guy's insecurities, and he goes a-questing to locate the next-in-line of succession - a young, dejected, high school kid. Meanwhile, charming has developed even more of an attitude problem, and is putting together a whole battalion of people with grudges.One of the themes of the first two Shrek films was 'don't judge a book by its cover'. Shrek III takes the theme a little farther and puts a different spin on it. The lesson learned here is ""don't judge yourself superficially."" And it works. My rating of six is based solely on the entertainment value of the film. This film is not quite as well-paced and well-directed as the previous two films, and Charming is simply not the heavy-weight heavy that his mom was. Nevertheless, it's still worth a look, and still carries positive messages entertainingly."
3,Shrek the Third,3,29 May 2007,A Shrek Too far,"A movie too many, a laugh too few. This installment of Shrek is so unlike the first two in terms of energy and humor that its almost like one of those cheesy made-for-TV or straight-to-video versions that the studios make just to cash in on the popularity of a title.The movie slogs through a story about Shrek and Fiona having to replace the deceased frog king unless they can find another heir. Shrek's time at the ""high school"" is so tortured that you can almost smell the coffee the writers had to brew to get through the brainstorming sessions.Not good, I'm sorry to say. The first two were so clever that this ends up seeming...well...crappy by comparison.Part of success is knowing when to stop."
4,Shrek the Third,6,19 May 2007,Not Enough to be at level of first 2!,"The movie did not really hold the attention of my two younger kids. Even for me, the funny experience of watching both Shrek 1 and 2 was not really very evident with this installment. I remember in Shrek 2, I was laughing out loud with each passing pop culture reference and innuendo being bantered around. However, that was not so here.I was not too amused with the Disney princesses characters. Shrek's ""baby nightmare scene"" was well-executed. Justin Timberlake did well in voicing his ""grovelling at Merlin's feet"" scene. Overall, this movie was not that bad, but it needed to be much better to be worthy to stand on the same level as the first two Shrek films."
5,Shrek the Third,7,18 May 2007,"It was good, but it's lacking something","I couldn't wait to see Shrek the Third, especially since I have such a great love for the second Shrek, I'm just in love with Puss in Boots. But, the trailer looked great and the stories have worked so far, my mom and I saw the premier show today and while the movie has great laughs, there seemed to be something lacking in the Shrek world. I think the characters didn't seem to click as well as they did in the first two. Shrek the Third has the return of the whole cast, including the new heir to the thrown, Arthur.Shrek and Fiona have a problem, Fiona's father, the frog King of Far Far Away, has passed away and now it's up to Shrek to take the crown. But Shrek is too scared to step up and looks to the next man in line, well, actually a teenage, Arthur. Shrek, Puss, and Donkey go to find Artie, but there is one more problem going on, Prince Charming wants his kingdom of Far Far Away back like it was promised to him and he will go through anything to get it back. Fionna and the other princesses are kidnapped while Shrek's life is in danger and they must all pull together to save him in time for Arthur to take over the kingdom.Shrek the Third has great jokes, terrific animation, and lovable characters, especially the character, Merlin, he was just a terrific spoof. But the characters seemed to be lacking the same chemistry as they did in the first two films. I would recommend Shrek the Third, it's a good movie for the family and for a summer movie, because I do guarantee a fun time. I don't know if everyone will agree, but so far I know a few people know that there is something lacking from the world of Shrek.7/10"
6,Shrek the Third,5,16 May 2007,This ogre is starting to lose his charms,"The phenomenal success of the Shrek franchise - particularly ""Shrek 2"" - has prompted Dreamworks Animation to yet again squeeze out a story of an erstwhile happily ended tale and return to the screen once again with ""Shrek the Third"", which brings back most of the original cast, and then some, for another round of jabs at fairy tales and pop culture.The Kingdom of Far Far Away is faced with another dilemma: King Harold (John Cleese) has just died and next in line to the throne is Shrek (Mike Myers), who doesn't want to have anything to do with ruling a kingdom. So he goes to search for Artie (Justin Timberlake), Fiona's cousin and the third in line to the throne, in Worcestershire (no kidding), a medieval high school where all students seem to have jumped out of a Hollywood teen flick. Meanwhile, Fiona is pregnant with Shrek as a reluctant father; and Prince Charming teams up with villains from various fairy tales in an effort to take over the kingdom.While, yes, it's considerably better than ""Happily N'Ever After"", it's hard to define the movie as anything more than a disappointing mediocrity. It had the chance to be just as good as its predecessor, yet except for a few jokes, it doesn't generate consistent amusement or cleverness when it comes to delivering the laughs. Even with new characters that include Snow White (Amy Poehler), Cinderella (Amy Sedaris), Sleeping Beauty (Cheri Oteri), and Rapunzel (Maya Rudolph) voiced by Saturday Night Live comedians, the film seems to have lost all sense of wit and humor that has made its first two predecessors a fun experience.As for the material itself, the narrative doesn't seem to have any real motivation or progression. It's merely stretching a premise into an hour-and-a-half end product that merely panders to the filmmakers' whims of extending a lucrative franchise that may be starting to run on fumes. It was easy to ride with these characters in the first film because the animated genre is incredibly trampled with clichés. But a joke can only be said so much before it starts to wear out. Here, directors Chris Miller and Raman Hui fail to give the characters any quality that would evoke sympathy, considering that the story falls flat and perfunctory.""Shrek the Third"" might still appeal to younger audiences, but that's about it as far as recommendations go. Save for sporadic chuckles, the audience I watched it with were quiet throughout the film. It feels hastily assembled and thrown together slapdash, without any attention to what made the first two work, and Dreamworks should get a clue that the ogre is starting to overstay his welcome."
7,Shrek the Third,1,11 September 2008,"Very bad use of music, amongst other thing-eths...This movie has jumped the Shrek and the Shark","I got tipsy off pumpkin martinis and thought this might be a good watch, it was on HBO's free viewing weekend last week. Now I can see why.The use of music in this film is downright disturbing. I wish they could just have a score for this film. The use of ""Live or Let Die"" didn't make any sense in a funeral, like another reviewer said. I was almost getting mad about it. It is about killing someone, not about mourning, any idiot would know that. The use of Immigrant Song is also a problem. It isn't funny the way it is used and it's the point of that song either, neither is the Heart song, Barracuda when the women are fighting. It's a love song, so it makes no sense as a fighting song, maybe Live or Let Die could have gone there instead. Then there's Rock and Roll High School in the high school scene, which is not very funny at all.I did like Pinocchio and Puss in Boots, but those are because their characters haven't been made overly hip by the writers. All the women characters were made into stereotypes, like Snow White, etc. I did think it was amusing when Sleeping Beauty kept falling asleep, yet in a way that didn't make sense because once she was awakened by her prince, she was up for good. Then the rest seemed to be fart and vomit jokes. Or jokes that fell flat. Or constant references to things that weren't funny. I guess the music was so us adults could reference them...wow, there's that lame ""I've never been to me"" song, awesome, I was just thinking about that the other day...oh wait, I wasn't!!! But I think they were trying to do that so the adults would get something out of it and it failed.Even for free, the movie is a waste of time and if I had kids, I wouldn't want them to watch this. It's really stupid and there are so many better kids' films out there that don't try to be hip and urban to the lack of plot line. There's more to life than pop culture, not to say this movie couldn't have done that a little if there was a plot, I hardly saw any plot...everything just seemed humorless and not having spirit. So the Shrek empire should probably end with this one...I mean, when everyone starts having kids...it's time to jump the Shrek right?"
8,Shrek the Third,1,28 April 2008,The third installment of the Shrek series.,"Of any sequel to any movie I have ever seen, Shrek the Third has to be the worst I have ever had the displeasure of sitting through. When a movie is this bad I usually will stop watching it, but I thought that maybe it would go somewhere. Well, it did. Reference the movie title, Flushed Away. This is what anyone who was connected to this farce should have insisted on happening. The storyline is plausible. The King is dying and must name an heir. At first Shrek is asked to become the new King, but the little experience Shrek has had with being royal has not worked out. The scene where he and Fiona are all decked out in royal attire is painful. Not just to the characters, even though they were just drawn, in wearing such uncomfortable clothing, but to the viewer who must endure this torture as well. So off our hero and his side-kicks must go and get the next in line, a wallflower-type geek, Arthur. Oh yea, before they are out of earshot Shrek learns that he will soon be a dad. I have read that some people say that it's because of Justin Timberlake that this movie was ruined, but like everyone else, all he supplied was a voice. A monotonous, squeaky one, but a voice just the same. In fact, it seemed from what I could tell just by listening to everyone's voices, that no one seemed to be really into their characters at all. Jokes and scenes that worked well for the 1st 2 movies did not work for the 3rd movie, and in fact, besides being stale, no longer had any appeal. That there is a 4th, and possibly a 5th Shrek, is scary. Be afraid. Be very afraid."
9,Shrek the Third,5,20 May 2007,"Still worth seeing, but disappointing after the first 2","I had high expectations for this movie. When I saw Shrek 2, I was pleasantly surprised. Few sequels are as good as the original, but Shrek 2 was.Shrek the third did not continue this trend. While there were sill plenty of funny moments, it was nowhere near as amusing or original as the first two. They could have done so much more with this movie if they had tried. At the end, I felt sort of cheated.However, Shek the third isn't a bad movie in itself, only when compared to the others. I would still recommend going to see it. Unlike most, I liked Artie's character, even if he did talk too much (I'm not even a Justin Timberlake fan)."
