,title,stars,date,r_title,text
0,The Killing of a Sacred Deer,8,4 November 2017,much more than a psychological thriller,"Saying that the ""The Killing of a Sacred Deer"" is just a great psychological thriller is at least undermining... This film is full of brilliant metaphors, but you have to know Greek mythology and history to understand some of them. When Agamemnonas wanted to go to Troy to fight with his ships, there was no wind and he could't get there. So he asked the Gods to throw some strong winds, but the Gods replied that he had to sacrifice something in order to get the winds he desired, so they told him he had to kill his daughter. Agamemnonas thought about it and he decided to kill his daughter, but when he was just about to kill her, the gods transformed her into a deer, so he killed a sacred deer.That's where the title of the movie comes from and you can easily guess the reason..So this film is about choices, sacrifices and revenge.But revenge from the Gods. When Martin can bring sickness and death to Steven's whole family, in fact martin is in the place of a God from Greek mythology. And his duty is to bring the justice and punish those who overestimated their powers and tried to play gods( Steven went to do a surgery drunk)In addition to that, this great film of lanthimos, gives a harsh critic to the modern way of living in the western societies. Alienation, fake goals, fake relations and money that that bring comfort but not happiness.In conclusion it's a great film that gives you much homework to think about when you get home after you watched it and surely much more than just a great psychological thriller that many people believe it to be.."
1,The Killing of a Sacred Deer,2,3 December 2017,"Cold, stilted and irritatingly obtuse","I went into ""The Killing of a Sacred Deer"" knowing that it was based on an ancient Greek tragedy which I had not read and that the trailer was ...pretty weird. So I was braced for something more auteur and symbolic that I would have to retrospectively interpret and extract meaning from, not something immediately tangible or obvious.However, try as I might, there was not one meaningful thing I could extract from this ponderous, drawn out mess of a film. I am not familiar with Yorgos Lanthimos's previous work -I have not seen the Lobster- but I'm told TKOASD is very much in keeping with his stylistic quirks; Emotionally vacant, surrealist art installations masquerading as film.A brief, spoiler-free summary of the plot: A heart surgeon, his wife and two children are befriended/stalked by a mysterious teenager who's strange mannerisms belie a dark, twisted plan and a destructive supernatural power. The plot and its fantastical leanings didn't bother me. What did bother me was the awkward execution.The cast of one dimensional archetypes all ramble their lines in a robotic manner, their eyes fixed in a detached, glacial stare. It is impossible to connect with any of them on an emotional level, even when the stakes rise and certain characters are met with horrific choices, the focus seems to be less about conveying the emotional depth that a real person might plunge to in those circumstances, and more about favoring the artifice of the shot. Barry Keoghan's Martin -the malevolent teenager stalking the family- is perhaps the only character served well by this robotic approach. His monotone aloofness, combined with his shifty vacant eyes make him feel all the more disturbing and unpredictable.Colin Farrell on the other hand, gives one of the most stultifying performances of his career. His character, Stephen, a heart surgeon and father of two, is so utterly devoid of pathos, employing his frowny face and flat middle-class Dublin cadence to every line, he fails to make Stephen believable or likable, even when he's blubbering snot all over himself in one incongruously candid scene, it feels artificial and contrived, as in the next scene he goes right back to being a cold, miserable android again.Nicole Kidman does a better job with her material as Stephen's wife, at least her delivery is the least morose of the lot, but her performance is still frustratingly restricted in places where it should be amplified, making her mostly unsympathetic.Stephen's children, the innocent victims of Martin's vengeful plot, should surely have some element of likability if we are to feel any fear for their predicament, but alas they too are passive, unfeeling robots who fail to engage.The film instead relies on gimmicky mechanics to convey tension and dread where the stolid acting falls short. There are dozens of shots where the camera slowly zooms down long corridors or empty rooms, accompanied by screechy, dissonant sound effects as if trying to convince you that the dreary banality of what's unfolding on screen is actually threatening and you should be very afraid.The film is also full of pointlessly weird scenarios and obtuse dialogue that seem to be there solely for the purpose of making the viewer squirm uncomfortably. There are many bizarre references to menstruation and armpit hair, a pointless sex scene involving a nude Nicole Kidman pretending to be anesthetized so her pervert husband can get it up, and one particularly risible scene where Colin Farrell confesses to his young son that when he was a small boy, he happened upon his sleeping father and masturbated him until ""The bed sheets were covered in sperm"".The nonsense continues at a creeping pace until the under-whelming, implausible climax, which feels a poor reward for enduring what was essentially a 30 minute short film stretched into two hours. I don't think any amount of retrospective research on ""Iphigenia in Aulis"" will change my rating. One of the worst films of 2017."
2,The Killing of a Sacred Deer,1,6 December 2017,"What a mess, this film could not connect with the audience","First things first: I loved The Lobster. The Lobster was a comedy, sort of, and when the characters spoke with a very monotone voice and said and did things that normal people wouldn't do, that added to the comedy and it was a pleasure to watch that movie.Now, this movie is ""The Lobster 2"" in the sense that people still speak with a very monotone voice and say things they normally wouldn't. For example, during small talk at some party, the mother just casually mentions that her daughter had her first period. The daughter herself mentions that to a boy she just met later on in the movie. That resulted in the audience laughing at the movie.This is not a comedy. It is also not a horror movie. This is a drama or thriller with strong religious undertones. It is a mixture between the Binding of Isaac and the story of Job. Whatever supernatural being is responsible for punishing the two kids has a moral best described as ""an eye for an eye"". Something that I thought humanity would have overcome within the last 2000 years. This picture is completed by the ""happy end"", where the father simply kills one member of his family. This actually works in the sense that the punishment stops.This doesn't mix well with the bits that are (unintentionally?) funny. In fact, these bits (like the talk about her first period) doesn't add anything to the story.For me and the audience I was with, the movie failed. People left the cinema. I stayed, cause I wanted to give it a chance. But I was disappointed anyway."
3,The Killing of a Sacred Deer,1,29 November 2017,"First time writing a review, I just felt obligated to do it","***NO SPOILERS***If you're not one of those ""movie expert"" wannabes, who say bs like ""This is sensational piece of art"" when they don't even understand a movie, just to be different from others, and if you're not a masochist - DON'T WASTE YOUR TIME ON THIS MOVIE. I feel real mental pain after watching 122 minutes of this thing. It makes no sense whatsoever. Only decent thing about this movie is acting, but the stupidity, that is the story, is easily overshadowing it. If you hate someone very much, recommend them this ""masterpiece"" and enjoy yourself knowing that it's the worst thing you could do to make their life miserable."
4,The Killing of a Sacred Deer,4,20 October 2017,Failed myth adaptation,"Myths were created to help human build and understand the model of surrounding world. 'The Killing of Sacred Deer' is too artistic to bother. It builds a dent in reality in which a lower deity (surgeon) accidentally kills father of a greater one. While making people believe that the characters are somewhat real, it combines the mythical sacrifice of Iphigenia with cliché of train dilemma (kill 3 people by inaction or pull a lever and decide who dies). Unfortunately the setting is so artificial that the movie completely fails to deliver a point and decides to abort any attempts of explanation leaving viewers in a limbo. It's gripping, but completely dry upon closer examination. 'The Saw' was more believable than TKoSD. Viewers can admire a glimpse of naked Nicole Kidman for this suffering though!Acting: 7 Plot: 2 Production: 7"
5,The Killing of a Sacred Deer,1,1 December 2017,Disappointment,"I would like to keep it as short as possible:It was the worst Nicole Kidman movie I ever watched. My wife and I went to watch it with great pleasure as we are both Nicole Kidman fans and admirer her previous movies.The story, progress and ending were totally absurd. There were many sexual scenes which are not necessary and not related with the story. She should not accepted such a bad scenario...It was totally lost of 122 minutes of my life."
6,The Killing of a Sacred Deer,10,8 November 2017,Guilty doctor must sacrifice a child to expiate his guilt,"It takes a Greek director  Yorgos Lanthimos  to revive the elemental power of Greek tragedy in a modern setting. Because this is such a primal story it could be the most powerful and disturbing film of the year. The characters speak in a kind of dead tone, usually on banal matters (like how waterproof a watch is). The music alternates eerie silences with harsh nerve-wracking strings and drums. Shots of surgery and blood churn the stomach. The widescreen settings have an amphitheatrical stretch. Alone among recent films, it sends you out in catharsis  ""calm of mind, all passion spent."" This film releases you, drained. A man's misdeed brings down a curse upon his entire house that only his own immense sacrifice can expiate. That's the Greek tragedy, beside which our mundane stories of simple guilt, rationalization, mercy, forgiveness, and even human justice  the business of cops and courts  dwindle into insignificance. This primitive drama involves a heart surgeon Steven Murphy and his ophthalmologist wife Anna. That is, the elemental force erupts in the seat of modern science, rationalism, humanity. The professional curers are profoundly afflicted. Their reason is helpless, irrelevant, once the old pagan gods have been stirred to ire. Dr Murphy was at least tipsy when his bungled surgery cost a man's life. Murphy has not openly accepted responsibility or expressed his guilt. But he did attend the man's funeral and stop drinking altogether. He also befriended the man's orphaned son Martin, whom he buys gifts and offers friendship as a sop to confronting his own guilt on any deeper level. Now Martin swells from orphaned son into preternatural agent of vengeance. For his father's death has proved a curse on his house too. He and his mother  in different ways  crave Dr Murphy to replace the dead man in their lives: ""My mom's attracted to you. She's got a great body."" This thuggish kid has an other-worldly understanding. He has become the seer, the oracle who alone fathoms the root cause of the Murphy curse and its resolution. If Murphy doesn't kill one of his children, his entire family will die. First they are paralyzed, deprived of appetite and will, then their eyes erupt in Oedipusian bleed, then they die. Of course these modern sophisticates deny this savage myth. Murphy in particular blames Martin for the curse he has only reported. Daughter Kim understands, because she wrote a paper on Iphygenia, Agamemnon's daughter whom he has to sacrifice to atone for having killed a sacred deer. Kim is attracted to Martin and offers herself to him. In him she senses a worldliness apart from the others. Having initially assumed kid brother Bob would go (""Can I have your MP3 when you die?) she then volunteers to be Dr Murphy's sacrifice. She knows the story.The Murphys' life is characterized by a kind of torpor. No-one has any zest for anything. The conversations are banal and wary. Dr Murphy and then Kim report her first period as if it were a head cold. All sense of the primeval has been lost. Anna feigns total anesthesia for her sex with her husband. His friend and anesthesiologist charges Anna a hand job for info. Facing the curse Steven tries coaxing, coercion, threats, even physical violence and the threat of murder, to shake the seer off his vision. Steven turns to a school counsellor for advice on which child to pick. Anna twigs to their predicament: ""Our children are dying, but yes. I can make you mashed potatoes."" She marshals the will to free Martin from her husband's futile abuse. Indeed both the doctor and the anesthesiologist each blame the other for failures in the operating room. This is the modern world with advanced science and culture but with stupefied emotions and a shallow sense of responsibility. Dr Murphy forbids smoking in the house, but his wife and daughter smoke outside. Martin accepts his recent addiction with the same resignation he seems to have accepted as his role of messenger from the gods, to bring Murphy to their harsh justice. This elemental tragedy is the prophet director's harsh judgment on a world that evades its guilt and responsibility by suspending all conscience, all sense of a higher purpose than the mundane and worldly. The modern news cycle allows no time for the eternal."
7,The Killing of a Sacred Deer,3,15 December 2017,"Weird, Intriguing but Absolutely Disappointing and Overrated","The renowned heart surgeon Steven Murphy (Colin Farrell) is married with Dr. Anna Murphy (Nicole Kidman) with two children, the young teenager Kim (Raffey Cassidy) and the boy Bob (Sunny Suljic) that are their pride and joy. E works with the anesthetist Matthew (Bill Camp) and recently he is dedicating attention to the teenager Martin (Barry Keoghan), whose father died in a surgery. Steven brings Martin to meet his family and the teenager invites him to have dinner at his home with his mother (Alicia Silverstone), who harasses Steven. He rejects and on the next day, Bob gets sick without walking. Steven and Anna bring Bob to the hospital and after a complete checkup, the doctors do not find any problem with the boy. Soon Martin meets Steven and tells that he killed his father; now he has to kill Anna or Kim or Bob; otherwise they will all get sick and die. Who is Martin?""The Killing of a Sacred Deer"" is a weird, intriguing but absolutely disappointing and overrated film. The plot and the performances are cold, without heart, and has scenes absolutely unnecessary, like Anna masturbating Matthew in the car or the cameo of Alicia Silverstone. However, the screenplay holds the attention of the viewer that expects the clarification of the mystery. Unfortunatelly the conclusion is awful without any explanation for what is happening or who Martin is or has done. My vote is three.Title (Brazil): Not Available"
8,The Killing of a Sacred Deer,1,10 November 2017,The script-writer must have been about as intellectual as a lobotomized chicken.,"Perpetually early for the movies, I stand for a few moments in the cinema hall, overwhelmed with the crowd that forms a (typically British) queue at the ticket box. It is Halloween and this movie's trailer made it seem like the right choice for a spooky night. There is some kind of buzz in the air when the screening begins. A few moments later...happy chatter and munching are gone, everyone is focused, trying to figure out what the story-line is all about, what the GBP 12 for an adult ticket + GBP 7 for popcorn and coke went for.. a tragedy? No, a roadkill! No amount of expensive equipment can make up for the lack of plot! It just doesn't make sense... at all! Any of it! ""But it had scored so well on IMDb!"" - whines someone from the back row and I can feel their pain... it is everyone's pain... A collaborative exhaling in short puffs! What.a.waste.of.time! Lights are up as the movie ends... No-one's getting ready to leave - stuck in their seats people look around, then look at the screen again, expecting some scenes after the credits to put the whole movie into a different perspective, making it worth watching at least... To no avail."
9,The Killing of a Sacred Deer,2,25 November 2017,Pretentious and terribly directed.,"OK, I get the Greek mythology link in the title. That is pretentious for a start. But the film is completely confusing. Is it a horror, a thriller, a mystery? Are there special powers involved? Is the main character himself insane and much of the action his imagination? There are no hints at all. The characters are all brain dead. Hardly a meaningful statement or emotional reaction over 120 minutes. Close to the worst film I have ever seen. And at the ending will leave you completely unsatisfied."
